,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[1428],-0.004,0.013,-0.032,0.02,0.0,0.0,3175.0,1811.0,1.0
beta[1429],0.002,0.013,-0.021,0.029,0.0,0.0,3412.0,1980.0,1.0
beta[1430],-0.005,0.013,-0.031,0.02,0.0,0.0,3460.0,2158.0,1.0
beta[1431],0.025,0.022,-0.011,0.068,0.0,0.0,2919.0,1912.0,1.0
beta[1432],-0.043,0.027,-0.091,0.004,0.001,0.0,3079.0,2913.0,1.0
beta[1433],0.015,0.018,-0.013,0.052,0.0,0.0,2908.0,2179.0,1.0
beta[1434],-0.004,0.013,-0.031,0.022,0.0,0.0,4141.0,1973.0,1.0
beta[1435],-0.007,0.014,-0.036,0.017,0.0,0.0,3373.0,2095.0,1.0
beta[1436],0.001,0.013,-0.024,0.027,0.0,0.0,4184.0,2257.0,1.0
beta[1437],-0.002,0.013,-0.029,0.023,0.0,0.0,3548.0,1821.0,1.0
beta[1438],0.002,0.013,-0.021,0.03,0.0,0.0,3411.0,1738.0,1.0
beta[1439],-0.011,0.016,-0.043,0.015,0.0,0.0,2938.0,2155.0,1.0
lambda,41.771,3.325,35.808,47.989,0.172,0.122,376.0,848.0,1.01
sigma,0.464,0.016,0.435,0.493,0.0,0.0,1489.0,2373.0,1.0
linpred[0],-0.34,0.24,-0.816,0.082,0.004,0.003,3899.0,3324.0,1.0
linpred[1],-1.034,0.246,-1.465,-0.545,0.004,0.003,4033.0,3223.0,1.0
linpred[2],-0.07,0.259,-0.575,0.383,0.004,0.003,4049.0,3415.0,1.0
linpred[3],0.641,0.252,0.21,1.154,0.004,0.003,3870.0,3276.0,1.0
linpred[4],-0.64,0.265,-1.125,-0.138,0.004,0.003,4647.0,2969.0,1.0
linpred[5],-0.358,0.26,-0.833,0.144,0.004,0.003,4225.0,3509.0,1.0
linpred[6],-0.318,0.239,-0.778,0.125,0.004,0.003,3769.0,3366.0,1.0
linpred[7],-0.205,0.234,-0.635,0.233,0.004,0.003,3605.0,3492.0,1.0
linpred[8],-0.563,0.266,-1.049,-0.054,0.004,0.003,4293.0,3587.0,1.0
linpred[9],0.693,0.242,0.232,1.131,0.004,0.003,4170.0,3483.0,1.0
