,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[208],0.004,0.014,-0.024,0.029,0.0,0.0,6347.0,3184.0,1.0
beta[209],0.011,0.015,-0.017,0.036,0.0,0.0,6180.0,2852.0,1.0
beta[210],0.005,0.015,-0.024,0.033,0.0,0.0,5776.0,3188.0,1.0
beta[211],-0.001,0.014,-0.027,0.026,0.0,0.0,5918.0,2954.0,1.0
beta[212],-0.001,0.014,-0.028,0.025,0.0,0.0,6493.0,3177.0,1.0
beta[213],-0.006,0.015,-0.034,0.022,0.0,0.0,6753.0,3064.0,1.0
beta[214],-0.0,0.015,-0.028,0.028,0.0,0.0,6552.0,2835.0,1.0
beta[215],-0.002,0.014,-0.028,0.024,0.0,0.0,5906.0,3364.0,1.0
beta[216],0.005,0.015,-0.021,0.033,0.0,0.0,6045.0,2942.0,1.0
beta[217],0.006,0.015,-0.021,0.034,0.0,0.0,5456.0,3079.0,1.0
beta[218],-0.003,0.014,-0.03,0.025,0.0,0.0,5449.0,3353.0,1.0
beta[219],-0.001,0.015,-0.029,0.026,0.0,0.0,6473.0,2885.0,1.0
beta[220],0.001,0.015,-0.026,0.028,0.0,0.0,5909.0,3040.0,1.0
beta[221],0.008,0.014,-0.018,0.036,0.0,0.0,5244.0,3223.0,1.0
beta[222],0.002,0.015,-0.027,0.029,0.0,0.0,5050.0,2511.0,1.0
beta[223],0.007,0.015,-0.021,0.037,0.0,0.0,5205.0,2590.0,1.0
beta[224],-0.006,0.014,-0.033,0.021,0.0,0.0,5415.0,2815.0,1.0
beta[225],-0.008,0.015,-0.035,0.019,0.0,0.0,5787.0,3068.0,1.0
beta[226],0.0,0.015,-0.027,0.027,0.0,0.0,5366.0,2863.0,1.0
beta[227],0.002,0.015,-0.024,0.031,0.0,0.0,5586.0,3026.0,1.0
beta[228],-0.01,0.014,-0.037,0.016,0.0,0.0,5388.0,2962.0,1.0
